"NO","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","matrix type","thickness/μm","T/℃","P/bar","Control N2 permeability","Control CO2 permeability","Control CO2/N2 selectivity","Relative N2 permeability","Relative CO2 permeability","Relative CO2/N2 selectivity"
"3","2018 ","1 ","Cu3BTC2","","100","1232","8.6","8.6","5.00%","Azide-PMP","60","30.0 ","2","5.90 ","97.20 ","16.47 ","0.68 ","0.91 ","1.34 "
"4","","","Cu3BTC2","","100","1232","8.6","8.6","10.00%","Azide-PMP","60","30.0 ","2","5.90 ","97.20 ","16.47 ","0.73 ","1.05 ","1.45 "
"5","","","Cu3BTC2","","100","1232","8.6","8.6","15.00%","Azide-PMP","60","30.0 ","2","5.90 ","97.20 ","16.47 ","0.83 ","1.28 ","1.54 "
"6","","","Cu3BTC2","","100","1232","8.6","8.6","20.00%","Azide-PMP","60","30.0 ","2","5.90 ","97.20 ","16.47 ","0.85 ","1.48 ","1.75 "
"8","2010","2","CuTPA","","1500","625","5.2","5.2","15.00%","PVAc","","","","0.08 ","2.44 ","31.16 ","1.16 ","1.34 ","1.15 "
"10","2017","3","MMIF","","45","420","3.35","3.35","10.00%","Matrimid 5218","","35.0 ","4","0.26 ","6.82 ","26.23 ","1.14 ","1.19 ","1.04 "
"11","","","MMIF","","45","420","3.35","3.35","20.00%","Matrimid 5218","60","35.0 ","4","0.26 ","6.82 ","26.23 ","1.23 ","1.27 ","1.03 "
"12","","","MMIF","","45","420","3.35","3.35","10.00%","Matrimid 5218","40","35.0 ","4","0.26 ","6.82 ","26.23 ","0.94 ","1.06 ","1.13 "
"14","2010","4","Cu3(BTC)2","","10000","1071","8.6","8.6","10.00%","Matrimid 5218","42.5","35","10","0.50 ","11.50 ","23.00 ","1.12 ","1.15 ","1.02 "
"15","","","Cu3(BTC)2","","10000","1071","8.6","8.6","20.00%","Matrimid 5218","42.5","35","10","0.50 ","11.50 ","23.00 ","1.55 ","1.58 ","1.02 "
"16","","","Cu3(BTC)2","","10000","1071","8.6","8.6","30.00%","Matrimid 5218","42.5","35","10","0.50 ","11.50 ","23.00 ","1.55 ","1.63 ","1.05 "
"22","2014","5","Cu3(BTC)2","","1000","1439","8.6","8.6","10.00%","Ultem 1000","42.5","35","3.5","0.04 ","1.14 ","28.60 ","1.31 ","1.36 ","1.04 "
"23","","","Cu3(BTC)2","","1000","1439","8.6","8.6","20.00%","Ultem 1000","42.5","35","3.5","0.04 ","1.14 ","28.60 ","2.10 ","2.09 ","1.00 "
"24","","","Cu3(BTC)2","","1000","1439","","8.6","30.00%","Ultem 1000","42.5","35","3.5","0.04 ","1.14 ","28.60 ","3.69 ","3.62 ","0.98 "
"25","","","Cu3(BTC)2","","1000","1439","8.6","8.6","40.00%","Ultem 1000","42.5","35","3.5","0.04 ","1.14 ","28.60 ","14.73 ","10.04 ","0.68 "
"42","2013","7","Cu3(BTC)2","","50000","1669.1","8.6","8.6","10.00%","PPO","30","30","10","4.37 ","69.00 ","15.80 ","1.22 ","1.09 ","0.90 "
"43","","","Cu3(BTC)2","","13000","1791.5","8.6","8.6","10.00%","PPO","30","30","10","4.37 ","69.00 ","15.80 ","1.08 ","1.23 ","1.14 "
"44","","","Cu3(BTC)2","","6000","2262.2","8.6","8.6","10.00%","PPO","30","30","10","4.37 ","69.00 ","15.80 ","0.84 ","1.25 ","1.49 "
"46","2019","8","CuZnIF","","550","","","19.00 ","0.10%","PEBAX1657","20","25","14","1.01 ","126.00 ","125.00 ","1.15 ","1.40 ","1.22 "
"47","","","CuZnIF","","550","","","19.00 ","0.50%","PEBAX1657","20","25","14","1.01 ","126.00 ","125.00 ","0.94 ","1.51 ","1.60 "
"48","","","CuZnIF","","550","","","19.00 ","1.00%","PEBAX1657","20","25","14","1.01 ","126.00 ","125.00 ","1.26 ","1.63 ","1.30 "
"49","","","CuZnIF","","550","","","19.00 ","1.50%","PEBAX1657","20","25","14","1.01 ","126.00 ","125.00 ","1.71 ","1.57 ","0.92 "
"50","","","CuZnIF","","550","","","19.00 ","2.00%","PEBAX1657","20","25","14","1.01 ","126.00 ","125.00 ","1.71 ","1.55 ","0.90 "
"51","","","CuZnIF","","550","","","19.00 ","10.00%","PEBAX1657","20","25","14","1.01 ","126.00 ","125.00 ","1.81 ","1.56 ","0.86 "
"62","2016","10","[{Cu2(Glu)2(u-bpa)}•(CH3CN)]n","","","","4.1","4.1","1.70%","PEBAX1657","2","25","0.2","2.72 ","34.00 ","12.50 ","2.28 ","1.88 ","0.82 "
"63","","","[{Cu2(Glu)2(u-bpa)}•(CH3CN)]n","","","","4.1","4.1","3.10%","PEBAX1657","2","25","0.2","2.72 ","34.00 ","12.50 ","2.13 ","5.29 ","2.48 "
"64","","","[{Cu2(Glu)2(u-bpa)}•(CH3CN)]n","","","","4.1","4.1","3.80%","PEBAX1657","2","25","0.2","2.72 ","34.00 ","12.50 ","2.86 ","8.35 ","2.92 "
"65","","","[{Cu2(Glu)2(u-bpa)}•(CH3CN)]n","","","","4.1","4.1","4.80%","PEBAX1657","2","25","0.2","2.72 ","34.00 ","12.50 ","1.82 ","7.65 ","4.20 "
"67","","","[{Cu2(Glu)2(u-bpa)}•(CH3CN)]n","","","","4.1","4.1","3.00%","POZ","3.5","25","0.2","184.55 ","203.00 ","1.10 ","0.10 ","0.64 ","6.18 "
"68","","","[{Cu2(Glu)2(u-bpa)}•(CH3CN)]n","","","","4.1","4.1","6.30%","POZ","3.5","25","0.2","184.55 ","203.00 ","1.10 ","0.27 ","1.07 ","3.91 "
"69","","","[{Cu2(Glu)2(u-bpa)}•(CH3CN)]n","","","","4.1","4.1","9.20%","POZ","3.5","25","0.2","184.55 ","203.00 ","1.10 ","0.04 ","1.14 ","30.91 "
"71","2014","11","Cu-MOF1","","1500","","4.1","4.1","5.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","0.19 ","1.17 ","6.09 "
"72","","","Cu-MOF1","","1500","","4.1","4.1","10.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","0.27 ","2.04 ","7.45 "
"73","","","Cu-MOF1","","1500","","4.1","4.1","15.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","0.02 ","1.08 ","50.91 "
"74","","","Cu-MOF1","","1500","","4.1","4.1","20.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","0.86 ","27.08 ","31.36 "
"75","","","Cu-MOF2","","1500","","6.7","6.7","5.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","0.39 ","1.29 ","3.27 "
"76","","","Cu-MOF2","","1500","","6.7","6.7","10.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","0.40 ","1.17 ","2.91 "
"77","","","Cu-MOF2","","1500","","6.7","6.7","15.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","0.29 ","2.04 ","7.09 "
"78","","","Cu-MOF2","","1500","","6.7","6.7","20.00%","POZ","3.5","35","1.38","76.36 ","84.00 ","1.10 ","5.32 ","27.08 ","5.09 "
"84","2008","13","Cu–BPY–HFS","","250","2000","8","8","10.00%","Matrimid 5218","","35.0 ","3.9","0.22 ","7.29 ","33.14 ","1.09 ","1.07 ","0.98 "
"85","","","Cu–BPY–HFS","","250","2000","8","8","20.00%","Matrimid 5218","","35.0 ","3.9","0.22 ","7.29 ","33.14 ","1.41 ","1.36 ","0.96 "
"86","","","Cu–BPY–HFS","","250","2000","8","8","20.00%","Matrimid 5218","","35.0 ","3.9","0.22 ","7.29 ","33.14 ","1.45 ","1.37 ","0.94 "
"87","","","Cu–BPY–HFS","","250","2000","8","8","30.00%","Matrimid 5218","","35.0 ","3.9","0.22 ","7.29 ","33.14 ","1.41 ","1.42 ","1.01 "
"88","","","Cu–BPY–HFS","","250","2000","8","8","40.00%","Matrimid 5218","","35.0 ","3.9","0.22 ","7.29 ","33.14 ","2.23 ","2.07 ","0.93 "
"170","2014","15","MOF-5","cubic","55","2387","8.67","8.67","5.00%","PEI","35","25.0 ","3.0 ","0.10 ","1.68 ","16.80 ","1.30 ","1.37 ","1.05 "
"171","","","MOF-5","cubic","55","2387","8.67","8.67","15.00%","PEI","35","25.0 ","3.0 ","0.10 ","1.68 ","16.80 ","1.60 ","1.91 ","1.19 "
"172","","","MOF-5","cubic","55","2387","8.67","8.67","25.00%","PEI","35","25.0 ","3.0 ","0.10 ","1.68 ","16.80 ","1.90 ","3.21 ","1.69 "
"174","2014","16","T-MOF-5","tetragonal","90","1280","6.3","6.3","5.00%","PEI","35","25.0 ","6.0 ","0.10 ","1.70 ","17.00 ","1.10 ","1.12 ","1.02 "
"175","","","T-MOF-5","tetragonal","90","1280","6.3","6.3","15.00%","PEI","35","25.0 ","6.0 ","0.10 ","1.70 ","17.00 ","1.30 ","1.24 ","0.95 "
"176","","","T-MOF-5","tetragonal","90","1280","6.3","6.3","25.00%","PEI","35","25.0 ","6.0 ","0.10 ","1.70 ","17.00 ","1.40 ","1.76 ","1.26 "
"190","2013","18","M-MOF-74","","100","","10","10","20.00%","PDMS","300","25.0 ","2.0 ","330.00 ","3100.00 ","9.39 ","0.55 ","0.68 ","1.24 "
"192","","","M-MOF-74","","100","","10","10","20.00%","XLPEO","300","25.0 ","2.0 ","17.00 ","380.00 ","22.35 ","0.59 ","0.66 ","1.12 "
"194","","","M-MOF-74","","100","","10","10","20.00%","PI","300","25.0 ","2.0 ","46.00 ","650.00 ","14.13 ","0.83 ","1.31 ","1.58 "
"202","2015","20","ZIF-8","","160","1300","11.6","3.4","5.00%","IL-CS","118","25","2","518.52 ","1400.00 ","2.70 ","2.89 ","1.93 ","0.67 "
"203","","","ZIF-8","","160","1300","11.6","3.4","10.00%","IL-CS","118","25","2","518.52 ","1400.00 ","2.70 ","0.91 ","3.87 ","4.26 "
"204","","","ZIF-8","","160","1300","11.6","3.4","20.00%","IL-CS","118","25","2","518.52 ","1400.00 ","2.70 ","1.63 ","3.57 ","2.19 "
"205","","","HKUST-1","","340","","8.6","8.6","5.00%","IL-CS","118","25","2","518.52 ","1400.00 ","2.70 ","0.48 ","3.40 ","7.15 "
"206","","","HKUST-1","","340","","8.6","8.6","10.00%","IL-CS","118","25","2","518.52 ","1400.00 ","2.70 ","3.38 ","1.00 ","0.30 "
"219","2018","22","NUS-8","","5000","664","6","6","0.50%","PIM-1-TT","65","25","1","235.29 ","4000.00 ","17.00 ","1.19 ","1.25 ","1.05 "
"220","","","NUS-8","","5000","664","6","6","1.00%","PIM-1-TT","65","25","1","235.29 ","4000.00 ","17.00 ","0.93 ","1.27 ","1.38 "
"221","","","NUS-8","","5000","664","6","6","2.00%","PIM-1-TT","65","25","1","235.29 ","4000.00 ","17.00 ","1.03 ","1.62 ","1.58 "
"222","","","NUS-8","","5000","664","6","6","5.00%","PIM-1-TT","65","25","1","235.29 ","4000.00 ","17.00 ","1.70 ","2.12 ","1.25 "
"243","","","Zn(pyrz)2(SiF6)","","5700","","3.8","3.8","10.00%","PEGDA-PEGMA-65","450","25","1","25.00 ","470.00 ","18.80 ","0.88 ","1.15 ","1.31 "
"244","","","Zn(pyrz)2(SiF6)","","860","","3.8","3.8","10.00%","PEGDA-PEGMA-65","450","25","1","25.00 ","470.00 ","18.80 ","0.92 ","1.43 ","1.55 "
"245","","","Zn(pyrz)2(SiF6)","","860","","3.8","3.8","20.00%","PEGDA-PEGMA-65","450","25","1","25.00 ","470.00 ","18.80 ","0.88 ","1.34 ","1.52 "
"247","2020","27","NOTT-300","","900","1370","6.50 ","6.50 ","10.00%","pebax 1657","60","25.0 ","10.0 ","1.70 ","82.15 ","48.32 ","1.16 ","1.17 ","1.01 "
"248","","","NOTT-300","","900","1370","6.50 ","6.50 ","20.00%","pebax 1657","60","25.0 ","10.0 ","1.70 ","82.15 ","48.32 ","1.65 ","1.77 ","1.07 "
"249","","","NOTT-300","","900","1370","6.50 ","6.50 ","30.00%","pebax 1657","60","25.0 ","10.0 ","1.70 ","82.15 ","48.32 ","2.79 ","3.21 ","1.15 "
"250","","","NOTT-300","","900","1370","6.50 ","6.50 ","40.00%","pebax 1657","60","25.0 ","10.0 ","1.70 ","82.15 ","48.32 ","3.79 ","4.81 ","1.27 "
"278","2009","32","MOF-5","","100","3000","11","11","10.00%","Matrimid 5218","35","35.0 ","2.0 ","0.25 ","9.00 ","36.00 ","1.12 ","1.23 ","1.10 "
"279","","","MOF-5","","100","3000","11","11","20.00%","Matrimid 5218","35","35.0 ","2.0 ","0.25'","9.00 ","36.00 ","1.60 ","1.53 ","0.96 "
"280","","","MOF-5","","100","3000","11","11","30.00%","Matrimid 5218","35","35.0 ","2.0 ","0.25 ","9.00 ","36.00 ","2.08 ","2.24 ","1.08 "
"282","2014","33","MOP-18","","5000","","15","10","23.00%","Matrimid 5218","22","35.0 ","2.6 ","0.24 ","7.33 ","30.54 ","1.42 ","1.28 ","0.91 "
"283","","","MOP-18","","5000","","15","10","33.00%","Matrimid 5218","22","35.0 ","2.6 ","0.24 ","7.33 ","30.54 ","2.54 ","1.91 ","0.75 "
"284","","","MOP-18","","5000","","15","10","44.00%","Matrimid 5218","74","35.0 ","2.6 ","0.24 ","7.33 ","30.54 ","2.50 ","2.13 ","0.85 "
"295","2019","36","MOF-801","","550","838.94","6","6","2.50%","PEBAX1657","","20","1","0.19 ","8.89 ","47.50 ","2.85 ","3.44 ","1.20 "
"296","","","MOF-801","","550","838.94","6","6","5.00%","PEBAX1657","","20","1","0.19 ","8.89 ","47.50 ","2.51 ","3.34 ","1.33 "
"297","","","MOF-801","","550","838.94","6","6","7.50%","PEBAX1657","","20","1","0.19 ","8.89 ","47.50 ","3.22 ","4.53 ","1.41 "
"298","","","MOF-801","","550","838.94","6","6","10.00%","PEBAX1657","","20","1","0.19 ","8.89 ","47.50 ","1.92 ","2.38 ","1.24 "
"299","","","MOF-801","","550","838.94","6","6","12.50%","PEBAX1657","","20","1","0.19 ","8.89 ","47.50 ","2.14 ","2.81 ","1.31 "
"313","2016","38","Mg-MOF-74","","11000","1250","11","11","10.00%","PIM-1-TD","50","25.0 ","2.0 ","351.00 ","6576.00 ","18.74 ","1.26 ","1.43 ","1.14 "
"314","","","Mg-MOF-74","","11000","1250","11","11","15.00%","PIM-1-TD","50","25.0 ","2.0 ","351.00 ","6576.00 ","18.74 ","1.45 ","2.29 ","1.58 "
"315","","","Mg-MOF-74","","11000","1250","11","11","20.00%","PIM-1-TD","50","25.0 ","2.0 ","351.00 ","6576.00 ","18.74 ","2.11 ","3.23 ","1.53 "
"316","","","Mg-MOF-74-a","","11000","1250","11","11","20.00%","PIM-1-TD","50","25.0 ","2.0 ","351.00 ","6576.00 ","18.74 ","1.38 ","1.14 ","0.82 "
"1 ","2017 ","1 ","ZIF-7","","55.0 ","350.0 ","7.50 ","3.00 ","5%","PEI","400 ","3.0 ","2.0 ","21.80 ","82.50 ","4.37 ","0.17 ","0.78 ","2.96 "
"3 ","","","ZIF-7","","55.0 ","290.0 ","7.50 ","3.00 ","5%","PEI","400 ","3.0 ","2.0 ","21.80 ","82.50 ","4.37 ","8.38 ","2.98 ","0.52 "
"15 ","2014 ","4 ","ZIF-8","","","","11.60 ","3.40 ","10%","PBI-BuI","","35.00 ","20.00 ","0.09 ","2.30 ","57.50 ","1.56 ","1.22 ","0.97 "
"16 ","","","ZIF-8","","","","11.60 ","3.40 ","20%","PBI-BuI","","35.00 ","20.00 ","0.09 ","2.30 ","57.50 ","2.00 ","1.67 ","0.83 "
"17 ","","","ZIF-8","","","","11.60 ","3.40 ","30%","PBI-BuI","","35.00 ","20.00 ","0.09 ","2.30 ","57.50 ","3.67 ","2.27 ","0.76 "
"19 ","","","ZIF-8","","","","11.60 ","3.40 ","10%","PBI-BuI-NC","","35.00 ","20.00 ","0.09 ","2.30 ","57.50 ","4.00 ","2.91 ","0.73 "
"20 ","","","ZIF-8","","","","11.60 ","3.40 ","20%","PBI-BuI-NC","","35.00 ","20.00 ","0.09'","2.30 ","57.50 ","7.11 ","3.91 ","0.56 "
"21 ","","","ZIF-8","","","","11.60 ","3.40 ","30%","PBI-BuI-NC","","35.00 ","20.00 ","0.09 ","2.30 ","57.50 ","53.00 ","23.43 ","0.27 "
"23 ","","","ZIF-8","","","","11.60 ","3.40 ","10%","PBI-BuI-N4","","35.00 ","20.00 ","0.09 ","2.30 ","57.50 ","51.11 ","26.17 ","0.22 "
"24 ","","","ZIF-8","","","","11.60 ","3.40 ","20%","PBI-BuI-N4","","35.00 ","20.00 ","0.09 ","2.30 ","57.50 ","70.00 ","39.04 ","0.20 "
"24 ","2013 ","5 ","ZIF-8","","40.0 ","","11.60 ","3.40 ","11%","PIM-1","","35.0 ","1.0 ","180.00 ","4390.00 ","14.16 ","1.39 ","1.10 ","1.06 "
"25 ","","","ZIF-8","","40.0 ","","11.60 ","3.40 ","28%","PIM-1","","35.0 ","1.0 ","180.00 ","4390.00 ","14.16 ","1.08 ","0.97 ","1.31 "
"26 ","","","ZIF-8","","40.0 ","","11.60 ","3.40 ","36%","PIM-1","","35.0 ","1.0 ","180.00 ","4390.00 ","14.16 ","2.11 ","1.55 ","0.94 "
"27 ","","","ZIF-8","","40.0 ","","11.60 ","3.40 ","43%","PIM-1","","35.0 ","1.0 ","180.00 ","4390.00 ","14.16 ","1.94 ","1.44 ","1.03 "
"29 ","","","ZIF-8","EtOH","40.0 ","","11.60 ","3.40 ","28%","PIM-1","","35.0 ","1.0 ","180.00 ","4390.00 ","14.16 ","6.06 ","3.88 ","0.84 "
"30 ","","","ZIF-8","MeOH","40.0 ","","11.60 ","3.40 ","43%","PIM-1","","35.0 ","1.0 ","180.00 ","4390.00 ","14.16 ","9.78 ","4.41 ","0.51 "
"47 ","2014 ","9 ","ZIF-71","","100.0 ","679.0 ","16.50 ","4.20 ","10%","6FDA-Durene","","35.0 ","3.5 ","65.20 ","959.00 ","16.37 ","1.86 ","1.88 ","0.98 "
"48 ","","","ZIF-71","","100.0 ","679.0 ","16.50 ","4.20 ","20%","6FDA-Durene","","35.0 ","3.5 ","65.20 ","959.00 ","16.37 ","4.82 ","4.18 ","0.78 "
"49 ","","","ZIF-71","","100.0 ","679.0 ","16.50 ","4.20 ","30%","6FDA-Durene","","35.0 ","3.5 ","65.20 ","959.00 ","16.37 ","10.35 ","8.08 ","0.58 "
"51 ","2011 ","10 ","ZIF-8","","4900.0 ","1550.0 ","11.80 ","3.40 ","10%","PPEES","","30.0 ","1.0 ","0.20 ","5.00 ","16.67 ","1.50 ","1.40 ","1.20 "
"52 ","","","ZIF-8","","4900.0 ","1550.0 ","11.80 ","3.40 ","20%","PPEES","","30.0 ","1.0 ","0.20 ","5.00 ","16.67 ","3.50 ","3.60 ","1.27 "
"53 ","","","ZIF-8","","4900.0 ","1550.0 ","11.80 ","3.40 ","30%","PPEES","","30.0 ","1.0 ","0.20 ","5.00 ","16.67 ","10.50 ","10.00 ","1.22 "
"55 ","2016 ","11 ","ZIF-11","","2500.0 ","","14.60 ","3.00 ","10%","Pebax2533","150 ","20.0 ","2.0 ","6.00 ","230.00 ","8.85 ","0.67 ","0.91 ","1.03 "
"56 ","","","ZIF-11","","2500.0 ","","14.60 ","3.00 ","30%","Pebax2533","150 ","20.0 ","2.0 ","6.00 ","230.00 ","8.85 ","0.63 ","0.78 ","1.02 "
"57 ","","","ZIF-11","","2500.0 ","","14.60 ","3.00 ","50%","Pebax2533","150 ","20.0 ","2.0 ","6.00 ","230.00 ","8.85 ","0.83 ","1.00 ","1.24 "
"58 ","","","ZIF-11","","2500.0 ","","14.60 ","3.00 ","70%","Pebax2533","150 ","20.0 ","2.0 ","6.00 ","230.00 ","8.85 ","2.17 ","1.76 ","1.43 "
"60 ","2018 ","12 ","ZIF-94","","300.0 ","465.0 ","9.10 ","","10%","6FDA","","25.0 ","1.0 ","30.80 ","770.00 ","25.00 ","1.18 ","1.16 ","0.98 "
"61 ","","","ZIF-94","","300.0 ","465.0 ","9.10 ","","20%","6FDA","","25.0 ","1.0 ","30.80 ","770.00 ","25.00 ","1.58 ","1.45 ","0.92 "
"62 ","","","ZIF-94","","300.0 ","465.0 ","9.10 ","","30%","6FDA","","25.0 ","1.0 ","30.80 ","770.00 ","25.00 ","1.89 ","1.59 ","0.84 "
"63 ","","","ZIF-94","","300.0 ","465.0 ","9.10 ","","40%","6FDA","","25.0 ","1.0 ","30.80 ","770.00 ","25.00 ","3.23 ","2.91 ","0.90 "
"65 ","2020 ","13 ","ZIF-7","","44.0 ","201.0 ","7.50 ","3.00 ","","Pebax2533","","25.0 ","4.5 ","11.00 ","171.00 ","15.55 ","0.79 ","1.16 ","1.46 "
"66 ","","","ZIF-7","","36.0 ","361.0 ","7.50 ","3.00 ","","Pebax2533","","25.0 ","4.5 ","11.00 ","171.00 ","15.55 ","0.68 ","1.20 ","1.76 "
"67 ","","","ZIF-7","","85.0 ","28.2 ","7.50 ","3.00 ","","Pebax2533","","25.0 ","4.5 ","11.00 ","171.00 ","15.55 ","0.70 ","1.46 ","2.09 "
"68 ","","","ZIF-7","","682.0 ","4.9 ","7.50 ","3.00 ","","Pebax2533","","25.0 ","4.5 ","11.00 ","171.00 ","15.55 ","2.66 ","3.29 ","1.23 "
"71 ","2019 ","14 ","ZIF-302","","2250.0 ","","","","","PI","36 ","35.0 ","2.0 ","0.05 ","1.38 ","27.60 ","2.40 ","2.30 ","0.96 "
"72 ","","","ZIF-302","","2250.0 ","","","","","PI","194 ","35.0 ","2.0 ","0.86 ","13.47 ","15.66 ","1.16 ","1.66 ","1.43 "
"79 ","2015 ","16 ","ZIF-71","","","","16.50 ","4.20 ","10%","PIM-1-TT","60 ","35.0 ","3.5 ","163.60 ","3294.70 ","20.14 ","1.35 ","1.30 ","0.96 "
"80 ","","","ZIF-71","","","","16.50 ","4.20 ","20%","PIM-1-TT","60 ","35.0 ","3.5 ","163.60 ","3294.70 ","20.14 ","1.81 ","1.80 ","0.99 "
"81 ","","","ZIF-71","","","","16.50 ","4.20 ","30%","PIM-1-TT","60 ","35.0 ","3.5 ","163.60 ","3294.70 ","20.14 ","2.90 ","2.54 ","0.88 "
"83 ","","","ZIF-71","","","","16.50 ","4.20 ","10%","PIM-1-TT","60 ","35.0 ","3.5 ","41.40 ","1233.20 ","29.79 ","1.58 ","1.55 ","0.98 "
"84 ","","","ZIF-71","","","","16.50 ","4.20 ","20%","PIM-1-TT","60 ","35.0 ","3.5 ","41.40 ","1233.20 ","29.79 ","2.26 ","2.06 ","0.91 "
"85 ","","","ZIF-71","","","","16.50 ","4.20 ","30%","PIM-1-TT","60 ","35.0 ","3.5 ","41.40 ","1233.20 ","29.79 ","3.11 ","2.80 ","0.90 "
"87 ","2018 ","17 ","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","10%","PEGDA","125 ","35.0 ","","2.40 ","130.00 ","54.17 ","2.33 ","2.46 ","1.05 "
"88 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","20%","PEGDA","125 ","35.0 ","","2.40 ","130.00 ","54.17 ","4.58 ","3.85 ","0.84 "
"89 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","30%","PEGDA","125 ","35.0 ","","2.40 ","130.00 ","54.17 ","7.50 ","5.54 ","0.74 "
"90 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","50%","PEGDA","125 ","35.0 ","","2.40 ","130.00 ","54.17 ","16.67 ","10.00 ","0.60 "
"93 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","10%","PEGDA-co-PEGMEA","125 ","35.0 ","","6.40 ","330.00 ","51.56 ","1.52 ","1.70 ","1.12 "
"94 ","","","ZIF-8","","200.0 ","1500.0 ","11.80 ","3.40 ","20%","PEGDA-co-PEGMEA","125 ","35.0 ","","6.40 ","330.00 ","51.56 ","2.81 ","2.55 ","0.91 "
